OneWayAcc	TwoWayAcc	FiveWayAcc	Best
0.5	0.503333	0.818333	0
0.5	0.511333	0.880667	0
0.500667	0.502667	0.831333	0
0.501333	0.505	0.878333	0
0.500333	0.502667	0.826667	0
0.500333	0.506333	0.879	0
0.500333	0.504333	0.871	0
0.500667	0.504333	0.874333	0
0.500667	0.508	0.884667	0
0.500333	0.504	0.870333	0
0.501667	0.504	0.875	0
0.500667	0.503	0.839	0
0.500333	0.505333	0.875	0
0.501	0.505	0.877333	0
0.500333	0.507	0.882	0
0.501	0.502667	0.838667	0
0.501667	0.509	0.890667	0
0.500333	0.506	0.877333	0
0.501	0.503333	0.87	0
0.501667	0.510333	0.895	0
0.500667	0.508333	0.886333	0
0.500333	0.506667	0.881667	0
0.500667	0.509	0.889333	0
0.501667	0.508	0.887333	0
0.501333	0.504333	0.875	0
0.501	0.51	0.893333	0
0.501333	0.507	0.884333	0
0.501	0.508667	0.889667	0
0.502667	0.513	0.898333	0
0.500667	0.505	0.876333	0
0.501333	0.503333	0.872333	0
0.500333	0.503667	0.869333	0
0.501333	0.510333	0.894333	0
0.501	0.508	0.886	0
0.501333	0.511	0.896	0
0.500667	0.508667	0.887333	0
0.500333	0.510667	0.89	0
0.501333	0.506333	0.883	0
0.501	0.503	0.840333	0
0.500667	0.504	0.871667	0
0.501333	0.504	0.873667	0
0.502667	0.508667	0.891667	0
0.500333	0.512	0.895333	0
0.501	0.510667	0.894	0
0.501333	0.505667	0.880667	0
0.500667	0.51	0.892667	0
0.500333	0.503333	0.869	0
0.500667	0.503667	0.869667	0
0.502	0.507333	0.884667	0
0.501	0.508333	0.889333	0
0.500667	0.511333	0.895	0
0.502333	0.509	0.891667	0
0.502	0.512	0.897667	0
0.501333	0.507667	0.885333	0
0.502667	0.508333	0.890333	0
0.502333	0.508333	0.89	0
0.500667	0.507	0.882333	0
0.501	0.509333	0.89	0
0.502	0.506	0.882	0
0.500667	0.504667	0.875667	0
0.501	0.505667	0.880333	0
0.502	0.508667	0.891	0
0.501667	0.504333	0.875667	0
0.501	0.507667	0.884667	0
0.501	0.506333	0.881667	0
0.500333	0.51	0.889333	0
0.500333	0.511	0.893	0
0.500333	0.503	0.838667	0
0.500333	0.509667	0.887333	0
0.500333	0.509	0.885	0
0.500667	0.506	0.878667	0
0.502333	0.512667	0.898	0
0.503333	0.513	0.899	0
0.501	0.505333	0.88	0
0.501	0.507333	0.884333	0
0.503667	0.512667	0.899	0
0.500333	0.509333	0.886	0
0.502	0.505667	0.881333	0
0.501333	0.506	0.881333	0
0.500667	0.506333	0.881	0
0.502667	0.511667	0.897667	0
0.501333	0.510667	0.895333	0
0.500667	0.511	0.894333	0
0.502333	0.505667	0.881667	0
0.500667	0.505667	0.878	0
0.501	0.502333	0.825667	0
0.500667	0.510333	0.893333	0
0.502	0.506667	0.883667	0
0.501	0.504	0.872	0
0.501333	0.509333	0.891667	0
0.502667	0.509333	0.892	0
0.502667	0.508	0.888	0
0.502	0.510667	0.897333	1
0.501333	0.508667	0.89	0
0.501	0.507	0.883333	0
