OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
0.503333	0.506333	0.515	0.538	0.67	0
0.502667	0.505667	0.516667	0.536	0.669667	0
0.502667	0.506333	0.516	0.538	0.673333	0
0.502	0.506333	0.516667	0.540667	0.682667	0
0.502	0.507	0.517	0.54	0.682667	0
0.502	0.506	0.517	0.536667	0.674333	0
0.502667	0.506333	0.516333	0.537667	0.675	0
0.501667	0.506333	0.517	0.537	0.676	0
0.501333	0.506333	0.516667	0.537	0.665	0
0.501667	0.506333	0.515667	0.536333	0.665	0
0.501667	0.506	0.516667	0.537333	0.667333	0
0.501667	0.506333	0.516	0.537	0.667	0
0.503	0.505667	0.515667	0.538	0.671	0
0.501	0.506	0.517	0.540333	0.677	0
0.501333	0.506667	0.516667	0.537	0.676667	0
0.501333	0.507333	0.517	0.538333	0.677	0
0.502	0.506667	0.517	0.536667	0.677333	0
0.501667	0.507	0.517333	0.536667	0.678333	0
0.501	0.506333	0.518	0.544333	0.686333	0
0.502	0.507	0.517667	0.544667	0.687	0
0.502667	0.507	0.518	0.542333	0.684	0
0.501667	0.507333	0.517667	0.544667	0.686333	0
0.502	0.506	0.516	0.540333	0.681667	0
0.501667	0.506333	0.515667	0.540333	0.682	0
0.501667	0.506333	0.515667	0.541333	0.683	0
0.502667	0.507	0.516	0.540333	0.683	1
0.502	0.507	0.517	0.536333	0.675	0
0.502	0.506333	0.518333	0.537333	0.680333	0
0.501667	0.507667	0.518333	0.537333	0.679	0
0.502	0.506	0.517667	0.538	0.679667	0
0.501667	0.506667	0.518	0.539333	0.681667	0
0.501667	0.506333	0.517333	0.538	0.681333	0
0.501333	0.507333	0.518333	0.539667	0.681667	0
0.501333	0.507667	0.517667	0.540333	0.681667	0
0.501	0.507	0.518	0.538333	0.677667	0
0.502333	0.507	0.516667	0.538667	0.679	0
0.502	0.506667	0.518333	0.542333	0.684	0
0.501667	0.506667	0.517333	0.542667	0.684	0
0.501333	0.506667	0.518333	0.544	0.685667	0
0.501333	0.507	0.517333	0.544	0.684667	0
0.501667	0.506667	0.517667	0.543667	0.684667	0
0.503667	0.506333	0.517667	0.542667	0.684667	0
0.503	0.507333	0.520333	0.545	0.688333	0
0.503333	0.508667	0.520667	0.546667	0.690667	0
0.501	0.507	0.516667	0.544	0.674	0
0.501333	0.506333	0.516	0.542333	0.674	0
0.502667	0.507667	0.516667	0.535	0.666333	0
0.502333	0.508	0.517	0.535	0.665	0
0.502	0.509	0.516667	0.535333	0.667667	0
0.502	0.509333	0.517	0.535	0.668333	0
0.501667	0.508333	0.516333	0.536	0.667	0
0.502	0.509	0.516	0.534333	0.666667	0
0.502333	0.508333	0.516333	0.535	0.665333	0
0.502667	0.508	0.516333	0.535333	0.665667	0
0.502	0.508667	0.517	0.535667	0.665667	0
0.501667	0.507667	0.516667	0.533667	0.664667	0
0.503	0.507333	0.518667	0.533667	0.667	0
0.502333	0.507667	0.517667	0.533667	0.666333	0
0.502333	0.507667	0.518333	0.533333	0.666	0
0.503	0.507333	0.518667	0.534	0.667333	0
0.501667	0.507333	0.517667	0.535	0.665333	0
0.502	0.508	0.517333	0.534	0.665667	0
0.502	0.507	0.517667	0.534	0.666667	0
0.502333	0.507333	0.518333	0.534333	0.668	0
0.501	0.506333	0.516333	0.536333	0.657667	0
0.501667	0.506	0.515	0.533	0.657667	0
0.501333	0.505667	0.515	0.534	0.659	0
0.501333	0.506	0.515	0.536667	0.663667	0
0.503	0.506667	0.514333	0.537333	0.665333	0
0.503333	0.507	0.514333	0.537	0.665333	0
0.502	0.505667	0.515	0.537667	0.665	0
0.502	0.506	0.514667	0.539333	0.664667	0
0.502333	0.505667	0.515	0.538333	0.666333	0
0.502333	0.505333	0.515	0.538333	0.663667	0
0.501667	0.506	0.514333	0.536	0.662	0
0.502333	0.505667	0.514667	0.536667	0.660333	0
0.502667	0.507	0.514333	0.534333	0.659	0
0.502333	0.507667	0.515	0.535667	0.667	0
0.502667	0.507667	0.515667	0.533667	0.661667	0
0.502667	0.507333	0.515	0.534	0.662	0
0.502	0.507667	0.515	0.534667	0.662	0
0.503667	0.506667	0.518	0.535	0.664	0
0.503333	0.507	0.516333	0.534	0.662667	0
0.503	0.506	0.515667	0.534333	0.663333	0
0.502333	0.506333	0.516	0.534667	0.663667	0
0.502333	0.506	0.515333	0.534667	0.663333	0
0.502333	0.506667	0.516333	0.533667	0.661333	0
0.502	0.507	0.517333	0.534	0.662333	0
0.502667	0.506667	0.516667	0.534	0.663333	0
0.501667	0.508	0.516667	0.536	0.665667	0
0.502	0.507667	0.515	0.534333	0.661667	0
0.501	0.507	0.515667	0.537333	0.661667	0
0.501667	0.506333	0.515333	0.538	0.669667	0
0.502333	0.506667	0.515333	0.537	0.670667	0
0.502	0.507333	0.515667	0.538333	0.671333	0
0.502	0.506333	0.516667	0.537	0.669	0
0.502	0.506	0.516667	0.539333	0.668	0
0.502	0.505667	0.516	0.539667	0.668667	0
0.501667	0.505667	0.515667	0.539667	0.666333	0
0.503	0.505333	0.515333	0.537667	0.67	0
