OneWayAcc	TwoWayAcc	FourWayAcc	Best
0.5	0.507333	0.910667	0
0.500333	0.501667	0.881333	0
0.500333	0.502333	0.89	0
0.500333	0.503	0.898667	0
0.500333	0.51	0.919333	0
0.500667	0.504333	0.909333	0
0.500333	0.504333	0.909	0
0.500333	0.508	0.916667	0
0.500667	0.503333	0.902	0
0.500667	0.508	0.917333	0
0.500667	0.501667	0.89	0
0.500667	0.507333	0.915667	0
0.502	0.505333	0.913667	0
0.501	0.51	0.921	0
0.500333	0.502	0.889333	0
0.500333	0.506333	0.910333	0
0.500667	0.509	0.92	0
0.502	0.505667	0.914	0
0.500333	0.506667	0.911667	0
0.501	0.502	0.890333	0
0.500667	0.507	0.913	0
0.500667	0.505333	0.91	0
0.501333	0.509333	0.921	0
0.502	0.506	0.914333	0
0.501333	0.504667	0.912333	0
0.501667	0.504667	0.912667	0
0.501	0.503667	0.903	0
0.501	0.503	0.902	0
0.502	0.509333	0.922333	0
0.500667	0.503667	0.902667	0
0.500333	0.503667	0.899	0
0.501	0.506667	0.913667	0
0.501667	0.506	0.914	0
0.502	0.506333	0.914667	0
0.502	0.508	0.919667	0
0.501	0.508333	0.917667	0
0.500667	0.506333	0.912667	0
0.501333	0.507333	0.917	0
0.501	0.504	0.908333	0
0.500667	0.502333	0.890667	0
0.500667	0.505667	0.911667	0
0.501333	0.504333	0.911667	0
0.502333	0.508333	0.920667	0
0.501	0.507667	0.916	0
0.500333	0.507333	0.913667	0
0.501667	0.508333	0.92	0
0.501	0.502667	0.901667	0
0.501667	0.508	0.918333	0
0.501333	0.506667	0.915667	0
0.501333	0.51	0.921667	0
0.502	0.508667	0.920333	0
0.501	0.507	0.914667	0
0.500667	0.510667	0.920333	0
0.501	0.509333	0.920667	0
0.501667	0.509333	0.921333	0
0.501	0.505333	0.911667	0
0.501	0.505	0.911	0
0.500667	0.503	0.901333	0
0.501667	0.509	0.920667	0
0.501	0.503333	0.902667	0
0.501333	0.505667	0.913667	0
0.501333	0.507	0.916333	0
0.501	0.504333	0.910333	0
0.502333	0.507667	0.919333	1
0.502333	0.508667	0.921	0
0.500333	0.509	0.919	0
0.501333	0.508333	0.919333	0
0.501333	0.508667	0.92	0
0.502333	0.507333	0.917667	0
