OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	Best
0.500667	0.505667	0.515333	0.745333	0
0.502	0.507	0.522333	0.757333	0
0.501	0.508	0.519	0.755	0
0.502	0.506667	0.522	0.755333	0
0.501333	0.506333	0.523667	0.762333	0
0.501	0.505667	0.510333	0.725333	0
0.503	0.506	0.516	0.750667	0
0.502	0.505	0.521333	0.753	0
0.501333	0.507	0.525333	0.763333	0
0.500667	0.506	0.516	0.746	0
0.501667	0.506333	0.522667	0.756333	0
0.501	0.506	0.518333	0.749667	0
0.501667	0.508333	0.518667	0.755	0
0.502	0.509	0.518333	0.754333	0
0.500667	0.508	0.519333	0.754667	0
0.501667	0.504333	0.521667	0.751	0
0.500667	0.506333	0.517333	0.749333	0
0.501333	0.504667	0.517	0.748	0
0.501333	0.505	0.509667	0.724667	0
0.502667	0.505333	0.515333	0.749	0
0.501333	0.505333	0.517667	0.748667	0
0.501	0.504	0.515667	0.742	0
0.501	0.506333	0.524	0.759667	0
0.501667	0.505667	0.518	0.751	0
0.502	0.505	0.517667	0.749	0
0.501	0.507333	0.519667	0.754667	0
0.501333	0.504667	0.523333	0.751333	0
0.501	0.506333	0.522667	0.752	0
0.501	0.506	0.523333	0.753667	0
0.501667	0.506	0.522667	0.754	0
0.501667	0.506333	0.516333	0.748333	0
0.500667	0.507333	0.522667	0.753333	0
0.500667	0.504667	0.514	0.744333	0
0.501	0.506333	0.517667	0.75	0
0.501	0.507	0.518	0.751667	0
0.501333	0.506	0.523333	0.760333	0
0.501	0.506667	0.525	0.762667	0
0.501667	0.506667	0.522667	0.757	0
0.500667	0.508333	0.519667	0.756	0
0.501667	0.505	0.518	0.749333	0
0.501	0.504333	0.519	0.747333	0
0.501	0.505	0.518	0.748333	1
0.501	0.505	0.518333	0.748667	0
0.501	0.507	0.522333	0.753667	0
0.500667	0.507667	0.523333	0.756667	0
0.501667	0.505667	0.523333	0.761333	0
0.502667	0.506	0.516667	0.749667	0
0.501667	0.506667	0.525333	0.763333	0
0.501333	0.507	0.525	0.763	0
0.500667	0.506333	0.515333	0.746	0
0.501333	0.506667	0.522667	0.754	0
0.501333	0.505333	0.518333	0.752	0
0.502	0.508667	0.519	0.755333	0
0.501667	0.504333	0.521333	0.750333	0
0.502	0.504667	0.521	0.75	0
0.501667	0.505667	0.522667	0.753333	0
0.501667	0.505333	0.524	0.754333	0
0.501	0.505333	0.514	0.744667	0
0.501	0.505	0.513333	0.744333	0
0.501	0.504667	0.513667	0.743	0
0.501333	0.504667	0.516667	0.747333	0
0.500667	0.508333	0.522333	0.757667	0
0.501333	0.509	0.521667	0.757667	0
0.501333	0.508667	0.515667	0.748333	0
0.501333	0.507	0.516	0.748333	0
0.501333	0.508667	0.515333	0.747	0
0.502	0.508333	0.515667	0.748333	0
0.503	0.505333	0.515	0.748	0
0.502667	0.505667	0.515	0.749	0
0.500667	0.505	0.510333	0.721333	0
0.501333	0.504667	0.51	0.720333	0
0.500333	0.504333	0.510333	0.72	0
0.501	0.506	0.524333	0.761667	0
0.501	0.507667	0.518333	0.753667	0
0.501333	0.505333	0.517333	0.748333	0
0.501667	0.505333	0.524667	0.755333	0
0.501	0.504	0.515333	0.741	0
0.501667	0.507	0.517333	0.750333	0
0.501667	0.505667	0.516667	0.749	0
0.501	0.504333	0.514333	0.741667	0
0.501333	0.504333	0.517	0.747	0
0.502	0.508	0.52	0.755667	0
0.501667	0.508333	0.519333	0.757	0
0.502	0.506	0.523	0.759333	0
0.501	0.506333	0.523667	0.758667	0
0.501333	0.505333	0.511667	0.726	0
0.501667	0.507	0.514667	0.747	0
0.500333	0.507	0.526333	0.761333	0
0.500667	0.507667	0.526667	0.762	0
0.500667	0.507333	0.526	0.759667	0
0.501	0.504667	0.515	0.746333	0
0.502	0.504667	0.516	0.746667	0
0.501667	0.504	0.517	0.747	0
0.502333	0.505333	0.517333	0.748667	0
0.501333	0.504333	0.518333	0.748667	0
0.502	0.505333	0.508667	0.723667	0
0.501333	0.504667	0.523	0.750667	0
0.500667	0.505	0.520333	0.751333	0
0.502	0.505	0.516	0.748333	0
0.500333	0.505	0.515333	0.744333	0
