OneWayAcc	TwoWayAcc	ThreeWayAcc	Best
0.500333	0.500667	0.878667	0
0.5	0.502	0.881667	0
0.5	0.527333	0.895667	0
0.500333	0.516	0.886333	0
0.500667	0.515333	0.885667	0
0.500333	0.516333	0.886667	0
0.501	0.527333	0.898	0
0.501333	0.532	0.902	0
0.502	0.515	0.887333	0
0.5	0.521333	0.888667	0
0.500333	0.529	0.897667	0
0.500667	0.522667	0.894	0
0.500667	0.517333	0.888667	0
0.503333	0.519	0.893333	0
0.501333	0.516	0.888	0
0.500333	0.518	0.888	0
0.501667	0.514333	0.886333	0
0.500667	0.514667	0.884667	0
0.503	0.519333	0.893333	0
0.500333	0.529667	0.898667	0
0.5	0.526667	0.895333	0
0.503	0.517667	0.892	0
0.500333	0.515333	0.884333	0
0.502667	0.519333	0.893	0
0.501	0.527	0.897333	0
0.500333	0.526333	0.896333	0
0.501667	0.513333	0.885667	0
0.500667	0.528667	0.898333	0
0.500333	0.523333	0.894	0
0.500667	0.523333	0.894667	0
0.503	0.519	0.893	0
0.504333	0.514333	0.887667	0
0.500667	0.514333	0.884	0
0.501	0.53	0.901333	0
0.500667	0.521667	0.892667	0
0.501	0.518667	0.892	0
0.503333	0.519667	0.893667	0
0.503333	0.518	0.892667	0
0.500333	0.52	0.890333	0
0.500667	0.529	0.899667	0
0.501333	0.528667	0.900333	0
0.500333	0.515	0.884	0
0.502667	0.503333	0.885667	1
0.501	0.502667	0.884333	0
0.501667	0.516667	0.889	0
0.501333	0.528	0.899	0
0.502333	0.514667	0.888	0
0.503333	0.517333	0.892333	0
0.503	0.520333	0.894	0
0.502	0.503667	0.885333	0
0.500333	0.526667	0.896667	0
0.500667	0.529333	0.900667	0
0.502667	0.518333	0.892333	0
0.500333	0.514667	0.883667	0
0.500333	0.519333	0.889	0
0.500667	0.527667	0.897333	0
0.500333	0.501333	0.880667	0
0.500667	0.516667	0.887667	0
0.501667	0.524333	0.896	0
0.504	0.518	0.893333	0
0.501	0.528333	0.899333	0
0.500333	0.521333	0.892	0
0.502667	0.514333	0.887333	0
0.500667	0.525333	0.896	0
0.501	0.528667	0.9	0
0.502	0.517333	0.891667	0
0.501	0.528	0.898333	0
0.500333	0.53	0.899	0
0.501	0.529333	0.901	0
0.500333	0.520333	0.891	0
0.501	0.531	0.901667	0
0.501667	0.532333	0.902333	0
0.501	0.523333	0.895333	0
0.501333	0.514667	0.885667	0
0.501333	0.523333	0.895667	0
0.502667	0.519	0.892667	0
0.500667	0.519	0.891667	0
0.501	0.518	0.891667	0
0.503667	0.519333	0.894	0
0.501667	0.521333	0.892333	0
0.501	0.522333	0.895	0
0.501	0.521667	0.894333	0
0.501	0.502333	0.884	0
0.501667	0.502	0.883333	0
0.500667	0.502667	0.883667	0
0.501667	0.516333	0.888333	0
0.501333	0.516667	0.888667	0
0.501333	0.527667	0.898667	0
0.502667	0.520667	0.893667	0
0.502333	0.518667	0.892333	0
0.500333	0.514333	0.882333	0
0.501	0.517333	0.890333	0
0.500333	0.501	0.879667	0
0.501333	0.529	0.901333	0
0.500667	0.518667	0.890667	0
0.501667	0.517	0.891	0
0.502333	0.516667	0.891	0
0.501	0.529	0.900333	0
